NGC308,00 56 24.0, -1 47 00,None,None
NGC309,00 56 42.5,-09 54 50,3,2.5
NGC310,00 56 47.9,-01 45 55,None,None
NGC311,00 57 32.7,+30 16 47,1.5,0.8
NGC312,00 56 16.7,-52 46 59,1.4,1.1
NGC313,00 57 45.6,+30 21 58,None,None
NGC314,00 56 52.7,-31 57 47,1,0.8
NGC315,00 57 48.8,+30 21 09,3.2,2
NGC316,00 57 52.4,+30 21 16,None,None
NGC317,00 57 40.4,+43 47 31,1,0.5
NGC318,00 58 05.1,+30 25 32,0.5,0.3
NGC319,00 56 57.2,-43 50 17,1,0.8
NGC320,00 58 46.3,-20 50 25,0.9,0.5
NGC321,00 57 39.3,-05 05 11,0.7,0.5
NGC322,00 57 10.2,-43 43 36,1.1,0.6
NGC323,00 56 41.3,-52 58 35,1,1
NGC324,00 57 15.6,-40 57 36,1.4,0.5
NGC325,00 57 47.8,-05 06 45,1.4,0.2
NGC326,00 58 22.7,+26 51 56,1.2,1.2
NGC327,00 57 55.2,-05 07 50,1.6,0.7
NGC328,00 56 57.3,-52 55 23,2.7,0.5
NGC329,00 58 01.4,-05 04 17,1.6,0.6
NGC330,00 56 19.8,-72 27 44,None,None
NGC331,00 47 06.9,-02 43 52,0,0.6
NGC332,00 58 49.1,+07 06 41,1.3,1.1
NGC333,00 58 51.3,-16 28 11,1.6,0.9
NGC334,00 58 50.0,-35 06 55,1.2,0.6
NGC335,00 59 19.4,-18 14 01,1.1,0.3
NGC336,00 58 03.2,-18 23 12,0.7,0.2
NGC337,00 59 50.0,-07 34 40,2.9,1.8
NGC338,01 00 36.1,+30 40 07,1.9,0.6
NGC339,00 57 45.4,-74 28 21,None,None
NGC340,01 00 34.8,-06 52 00,0.9,0.3
NGC341,01 00 45.7,-09 11 08,1.2,1.1
NGC342,01 00 49.8,-06 46 21,0.6,0.3
NGC343,00 58 23.9,-23 13 30,0.7,0.3
NGC344,00 58 25.4,-23 13 46,0.4,0.2
NGC345,01 01 22.0,-06 53 04,1.2,0.8
NGC346,00 59 05.1,-72 10 38,14,11
NGC347,01 01 35.0,-06 44 01,0.6,0.4
NGC348,01 00 51.5,-53 14 40,0.8,0.7
NGC349,01 01 50.7,-06 48 00,1.3,0.9
NGC350,01 01 56.6,-06 47 45,0.3,0.2
NGC351,01 01 57.8,-01 56 13,1.4,0.8
NGC352,01 02 09.2,-04 14 45,2.4,0.9
NGC353,01 02 24.5,-01 57 28,1.3,0.4
NGC354,01 03 16.8,+22 20 32,0.8,0.4
NGC355,01 03 06.9,-06 19 28,1,0.4
NGC356,01 03 06.9,-06 59 17,1.5,0.8
NGC357,01 03 21.7,-06 20 22,2.4,1.7
NGC358,01 05 10.9,+62 01 14,None,None
NGC359,01 04 16.9,-00 45 53,1.5,1.1
NGC360,01 02 51.1,-65 36 36,3.5,0.5
NGC361,01 02 11.3,-71 36 25,None,None
NGC362,01 03 14.2,-70 50 54,None,None
NGC363,01 06 15.9,-16 32 35,0.6,0.5
NGC364,01 04 40.8,-00 48 10,1.4,1.3
NGC365,01 04 18.9,-35 07 14,1,0.6
NGC366,01 06 25.9,+62 13 44,None,None
NGC367,01 05 48.9,-12 07 44,0.9,0.5
NGC368,01 04 21.5,-43 16 32,0.7,0.7
NGC369,01 05 08.8,-17 45 34,1,0.8
NGC370,01 06 44.5,+32 25 44,None,None
NGC371,01 03 29.5,-72 03 25,None,None
NGC372,01 06 44.5,+32 25 44,None,None
NGC373,01 06 58.8,+32 18 32,0.3,0.3
NGC374,01 07 05.5,+32 47 47,1.1,0.5
NGC375,01 07 05.9,+32 20 53,1.4,1.4
NGC376,01 03 53.6,-72 49 31,None,None
NGC377,01 06 35.1,-20 19 56,0.8,0.3
NGC378,01 06 11.8,-30 10 40,1.5,1.1
NGC379,01 07 15.6,+32 31 13,1.4,0.8
NGC380,01 07 17.5,+32 28 59,1.4,1.2
